title,price,rating,reviews,availability
K. Bell Socks Women's Fun Happy Hour Crew Socks-1 Pairs-Cool & Cute Pop Culture Funny Gifts,8.98,4.8,"7,282",In Stock
"Dickies Men's Dri-tech Moisture Control Quarter Socks (6, 12, 18 Pairs)",31.98,4.7,"22,113",In Stock
"Hanes Women's Value Socks, No Show Soft Moisture-Wicking Socks, Available in 10 and 14-Packs",10.97,4.7,"24,132",In Stock
"Fruit of the Loom Men's Dual Defense Ankle Socks (12 Pack), Black, Medium (6 - 12)",15.49,4.7,"16,660",In Stock
Hanes womens Ultimate Comfort Toe Seamed Ankle Socks Pack Of 6,10.73,4.7,"9,373",In Stock
Hanes womens Ankle Soft Moisture Wicking Socks Pack Of 10,10.97,4.7,"11,514",In Stock
"Gildan Men's Polyester Half Cushion Crew Socks, 12-Pairs",19.97,4.6,"13,229",In Stock
"Gildan Men's Polyester Half Cushion Crew Socks, 12-Pairs",18.97,4.6,"13,229",In Stock
Fruit Of the Loom Men's Dual Defense Low Cut Socks (12 Pack),15.49,4.6,"5,364",In Stock
"Hanes Men's Max Cushioned Ankle Socks, Multi-Packs",11,4.6,"1,872",In Stock
"Fila Women’s No Show Ankle Socks, Womens Athletic Socks, Multi Pack",10.52,4.6,"3,707",In Stock
HUE Women's Mini Crew Sock 6 Pair Pack,18,4.6,"13,922",In Stock
Fruit of the Loom Men's Dual Defense No Show Socks (12 Pack),15.49,4.6,"15,119",In Stock
Saucony Men's Multi-pack Bolt Performance Quarter Socks,14.99,4.6,"4,622",In Stock
"Fruit of the Loom mens Value 10 Pair Pack Ankle Crew fashion liner socks, White, Sock Size 10-13, Shoe Size 6-12 US",17.99,4.5,"9,290",In Stock
"GOLDTOE Men's Harrington Crew Socks, Multipairs",15.4,4.5,"17,669",In Stock
HUE Women's Slouch Sock 3 Pair Pack,15.6,4.5,"6,751",In Stock
Dickies Men's All Purpose Cushion Crew Socks (6/12 Packs),11.92,4.5,"27,967",In Stock
"Gildan Men's Active Cotton Crew Socks, 10-pairs",17.79,4.5,"3,479",In Stock
"Gildan Men's Performance Crew Socks, 12-Pairs",19.69,4.5,"1,557",In Stock
"Fruit of the Loom Men's Work Gear Everyday Work Crew Socks (10 Pack), Black, Medium (6 - 12)",15.9,4.5,"22,969",In Stock
"Amazon Essentials Men's Performance Cotton Cushioned Athletic Ankle Socks, 6 Pairs",20.9,4.5,"12,377",In Stock
Fruit of the Loom Mens Essential 6 Pack Casual Crew Socks | Arch Support | Black & White,11.46,4.4,"20,307",In Stock
"Gildan Men's Polyester Half Cushion Low Cut Socks, 12-pack",17.51,4.4,"1,349",In Stock
"Fila Men's Racing Striped Quarter Ankle Socks, Mens Athletic Socks, 10 Pack",12.16,4.4,591,In Stock
"Amazon Essentials Men's Performance Cotton Cushioned Athletic No-Show Socks, 6 Pairs",17.1,4.4,"11,158",In Stock
"Acorn Original Men's and Women's Slipper Sock with Cloud-Like Feel, Soft and Moisture Wicking Crew Length, Genuine Suede Sole",34.5,4,"3,761",In Stock
"Timberland PRO Men's 6-Pack Performance Crew Length Socks, Black, XXL",20.71,4,137,In Stock
